CPU: ID 0x906e9, Processor Type 0x0, Family 0x6, Model 0x9e, Stepping 0x9
Northbridge: 8086:5918 (7th generation (Kaby Lake family) Core Processor Xeon E3-1200)
Southbridge: 8086:a149 (C236)
Trying to reveal Primary to Sideband Bridge (P2SB),
let's hope the OS doesn't mind... done.
SBREG_BAR = 0xfd000000 (MEM)

Hiding Primary to Sideband Bridge (P2SB).

============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0xaf0000

------- GPIO Group GPP_A -------
0x0400: 0x0000001884000502 GPP_A0       RCIN#               
0x0408: 0x0000301984000402 GPP_A1       LAD0                
0x0410: 0x0000301a84000402 GPP_A2       LAD1                
0x0418: 0x0000301b84000402 GPP_A3       LAD2                
0x0420: 0x0000301c84000402 GPP_A4       LAD3                
0x0428: 0x0000001d84000600 GPP_A5       LFRAME#             
0x0430: 0x0000001e84000402 GPP_A6       SERIRQ              
0x0438: 0x0000001f84000502 GPP_A7       PIRQA#              
0x0440: 0x0000002084000500 GPP_A8       CLKRUN#             
0x0448: 0x0000102184000600 GPP_A9       CLKOUT_LPC0         
0x0450: 0x0000102284000600 GPP_A10      CLKOUT_LPC1         
0x0458: 0x0000002384000502 GPP_A11      PME#                
0x0460: 0x0000002484000502 GPP_A12      BM_BUSY#            
0x0468: 0x0000002544000600 GPP_A13      SUSWARN#/SUSPWRDNACK
0x0470: 0x0000002644000600 GPP_A14      SUS_STAT#           
0x0478: 0x0000302744000502 GPP_A15      SUS_ACK#            
0x0480: 0x0000302844000200 GPP_A16      GPIO                
0x0488: 0x0000002984000201 GPP_A17      GPIO                
0x0490: 0x0000002a84000200 GPP_A18      GPIO                
0x0498: 0x0000302b44000200 GPP_A19      GPIO                
0x04a0: 0x0000002c84000200 GPP_A20      GPIO                
0x04a8: 0x0000002d84000100 GPP_A21      GPIO                
0x04b0: 0x0000002e84000102 GPP_A22      GPIO                
0x04b8: 0x0000002f84000102 GPP_A23      GPIO                
------- GPIO Group GPP_B -------
0x04c0: 0x0000003084000200 GPP_B0       GPIO                
0x04c8: 0x0000003184000200 GPP_B1       GPIO                
0x04d0: 0x0000003284000502 GPP_B2       VRALERT#            
0x04d8: 0x0000003384000200 GPP_B3       GPIO                
0x04e0: 0x0000003484000200 GPP_B4       GPIO                
0x04e8: 0x0000003584000102 GPP_B5       GPIO                
0x04f0: 0x0000003684000200 GPP_B6       GPIO                
0x04f8: 0x0000003784000100 GPP_B7       GPIO                
0x0500: 0x0000003884000102 GPP_B8       GPIO                
0x0508: 0x0000003984000500 GPP_B9       SRCCLKREQ4#         
0x0510: 0x0000003a44000702 GPP_B10      SRCCLKREQ5#         
0x0518: 0x0000003b84000200 GPP_B11      GPIO                
0x0520: 0x0000003c44000600 GPP_B12      SLP_S0#             
0x0528: 0x0000003d44000600 GPP_B13      PLTRST#             
0x0530: 0x0000103e84060600 GPP_B14      SPKR                
0x0538: 0x0000003f84000201 GPP_B15      GPIO                
0x0540: 0x0000004084000102 GPP_B16      GPIO                
0x0548: 0x0000004184000200 GPP_B17      GPIO                
0x0550: 0x0000004284000500 GPP_B18      GSPIO_MOSI          
0x0558: 0x0000004384000200 GPP_B19      GPIO                
0x0560: 0x0000004484060102 GPP_B20      GPIO                
0x0568: 0x0000004584000200 GPP_B21      GPIO                
0x0570: 0x0000004684000500 GPP_B22      GSPI1_MOSI          
0x0578: 0x0000104784060500 GPP_B23      SML1ALERT#          
------- GPIO Community 1 -------

PCR Port ID: 0xae0000

------- GPIO Group GPP_C -------
0x0400: 0x0000004844000502 GPP_C0       SMBCLK              
0x0408: 0x0000004944000502 GPP_C1       SMBDATA             
0x0410: 0x0000004a44000502 GPP_C2       SMBALERT#           
0x0418: 0x0000004b44000502 GPP_C3       SML0CLK             
0x0420: 0x0000004c44000502 GPP_C4       SML0DATA            
0x0428: 0x0000004d84000500 GPP_C5       SML0ALERT#          
0x0430: 0xffffffffffffffff GPP_C6       RESERVED            
0x0438: 0xffffffffffffffff GPP_C7       RESERVED            
0x0440: 0x0000005084000102 GPP_C8       GPIO                
0x0448: 0x0000005184000200 GPP_C9       GPIO                
0x0450: 0x0000005284000200 GPP_C10      GPIO                
0x0458: 0x0000005384000102 GPP_C11      GPIO                
0x0460: 0x0000005484000201 GPP_C12      GPIO                
0x0468: 0x0000005584000201 GPP_C13      GPIO                
0x0470: 0x0000005684000102 GPP_C14      GPIO                
0x0478: 0x0000005784000201 GPP_C15      GPIO                
0x0480: 0x0000005884000200 GPP_C16      GPIO                
0x0488: 0x0000005984000200 GPP_C17      GPIO                
0x0490: 0x0000005a84000200 GPP_C18      GPIO                
0x0498: 0x0000005b84000200 GPP_C19      GPIO                
0x04a0: 0x0000005c84000200 GPP_C20      GPIO                
0x04a8: 0x0000005d84000200 GPP_C21      GPIO                
0x04b0: 0x0000005e84060200 GPP_C22      GPIO                
0x04b8: 0x0000005f84060200 GPP_C23      GPIO                
------- GPIO Group GPP_D -------
0x04c0: 0x0000006084060200 GPP_D0       GPIO                
0x04c8: 0x0000006184000201 GPP_D1       GPIO                
0x04d0: 0x0000006284060500 GPP_D2       n/a                 
0x04d8: 0x0000006384060500 GPP_D3       n/a                 
0x04e0: 0x0000006404060201 GPP_D4       GPIO                
0x04e8: 0x0000006504000200 GPP_D5       GPIO                
0x04f0: 0x0000006604000200 GPP_D6       GPIO                
0x04f8: 0x0000006704000200 GPP_D7       GPIO                
0x0500: 0x0000006804000200 GPP_D8       GPIO                
0x0508: 0x0000006904000200 GPP_D9       GPIO                
0x0510: 0x0000006a04000200 GPP_D10      GPIO                
0x0518: 0x0000006b84000102 GPP_D11      GPIO                
0x0520: 0x0000006c84000102 GPP_D12      GPIO                
0x0528: 0x0000006d84000102 GPP_D13      GPIO                
0x0530: 0x0000006e84000102 GPP_D14      GPIO                
0x0538: 0x0000006f84000102 GPP_D15      GPIO                
0x0540: 0x0000007084000200 GPP_D16      GPIO                
0x0548: 0x0000007184000102 GPP_D17      GPIO                
0x0550: 0x0000007284000102 GPP_D18      GPIO                
0x0558: 0x0000007384000200 GPP_D19      GPIO                
0x0560: 0x0000007484000200 GPP_D20      GPIO                
0x0568: 0x0000007584000200 GPP_D21      GPIO                
0x0570: 0x0000007684000200 GPP_D22      GPIO                
0x0578: 0x0000007784000200 GPP_D23      GPIO                
------- GPIO Group GPP_E -------
0x0580: 0x0000301884060200 GPP_E0       GPIO                
0x0588: 0x0000301984060200 GPP_E1       GPIO                
0x0590: 0x0000301a84060200 GPP_E2       GPIO                
0x0598: 0x0000001b84060201 GPP_E3       GPIO                
